Crime Type,Total,Male,Female,Unknown Sex,Male Ratio,Female Ratio
All Crime,9873871,6365860,2483772,"1,024,239",0.6447177606432168,0.2515499746755857
Crimes Against Persons,3169852,2214550,883924,"71,378",0.6986288318823718,0.278853397571874
Assault Offenses,2918676,1991682,861591,"65,403",0.682392290202818,0.29519926158299176
Homicide Offenses,19274,15361,2410,"1,503",0.7969803880875791,0.1250389125246446
Human Trafficking Offenses,2428,1839,471,118,0.7574135090609555,0.19398682042833607
Kidnapping/Abduction,43012,35177,7134,701,0.8178415325955547,0.16586069003998885
Sex Offenses,186462,170491,12318,"3,653",0.9143471592067016,0.06606171766901567
