Crime Type,Total,Male,Female,Unknown Sex,Male Ratio,Female Ratio
All Crime,9715061,4709878,4919109,86074,0.48480169090034536,0.5063384573704683
Crimes Against Persons,3456189,1427800,2007909,20480,0.41311398190318876,0.5809604162272376
Assault Offenses,3187575,1375695,1792437,19443,0.43158043340156704,0.5623199454130491
Homicide Offenses,18785,14441,4251,93,0.7687516635613522,0.22629757785467128
Human Trafficking Offenses,2691,476,2068,147,0.17688591601635079,0.7684875510962468
Kidnapping/Abduction,43083,9953,32996,134,0.23101919550634822,0.7658705289789476
Sex Offenses,204055,27235,176157,663,0.13346891769375904,0.8632819582955575
