Crime Type,Total,Male,Female,Unknown Sex
All Crime,"9,873,871","6,365,860","2,483,772","1,024,239"
Crimes Against Persons,"3,169,852","2,214,550","883,924","71,378"
Assault Offenses,"2,918,676","1,991,682","861,591","65,403"
Homicide Offenses,"19,274","15,361","2,410","1,503"
Human Trafficking Offenses,"2,428","1,839",471,118
Kidnapping/Abduction,"43,012","35,177","7,134",701
Sex Offenses,"186,462","170,491","12,318","3,653"
